Company,Country,Industry,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,Label
Kwality Ltd,India,Food & Beverages,1.987,1.627,1.5,1.271,1.527,1.371,0.844,0.0163,Fraud
3AC Three Arrows,Singapore,Cryptocurrency,1.673,1.269,1.887,1.7,0.732,1.61,1.64,0.2155,Fraud
DCC PLC,Ireland,Conglomerate,1.87,0.971,0.632,1.062,1.035,0.738,1.338,-0.2,Legit
Nokia Corporation,Finland,Telecommunications,0.549,1.464,1.246,1.591,1.133,1.575,1.196,0.0036,Legit
African Consolidated,Zimbabwe,Mining,1.334,1.145,1.976,1.914,1.005,1.125,0.943,0.1659,Fraud
Merck KGaA,Germany,Pharmaceuticals,0.952,1.036,0.931,1.257,0.959,1.057,1.341,0.0277,Legit
CITIC Securities,China,Financial Services,2.203,1.602,1.468,1.678,1.383,1.016,1.361,0.2492,Fraud
Astaldi 2018,Italy,Construction,1.888,1.596,1.763,1.678,1.244,1.154,1.203,0.5,Fraud
Punjab National Bank,India,Banking,2.052,1.692,1.953,2.409,0.844,1.616,1.232,0.2028,Fraud
Safaricom 2018,Kenya,Telecommunications,0.789,0.702,0.805,0.871,0.341,0.612,0.716,-0.2,Legit
Kinross Gold,Canada,Mining,0.969,1.256,1.08,1.128,1.047,0.767,1.456,-0.2,Legit
China Huishan Dairy,China,Food & Beverages,1.607,1.405,1.702,1.915,1.404,0.866,1.444,0.1722,Fraud
Videotron,Canada,Telecommunications,0.736,1.001,0.587,1.06,0.836,0.98,0.366,0.0628,Legit
SouFun Holdings,China,Real Estate,1.561,1.604,2.154,1.494,1.092,1.181,1.195,0.2259,Fraud
Lonza Group,Switzerland,Chemicals,0.681,0.751,1.502,1.429,0.863,1.053,0.959,0.5,Legit
SK Hynix,South Korea,Semiconductors,1.077,0.955,0.423,0.912,1.281,1.175,0.715,-0.2,Legit
Samsung 2019,South Korea,Electronics,0.766,1.605,1.235,1.044,1.478,0.326,1.058,0.2005,Legit
Honeywell,USA,Industrial,1.371,0.876,0.792,1.021,1.013,1.069,1.063,-0.2,Legit
Agnico Eagle,Canada,Mining,1.285,1.542,1.719,1.131,0.839,1.065,0.829,0.0355,Legit
Hascol Petroleum,Pakistan,Oil & Gas,1.852,1.523,1.297,1.67,1.495,0.817,1.379,0.0615,Fraud
Dollar General Clean,USA,Retail,0.866,1.298,0.855,1.012,0.588,1.311,0.663,-0.2,Legit
FLIR Systems,USA,Technology,0.806,0.919,0.878,1.385,0.834,0.623,1.236,-0.1284,Legit
AstraZeneca,UK,Pharmaceuticals,1.215,0.494,0.864,1.355,1.038,1.078,0.812,-0.2,Legit
Vakrangee Ltd,India,IT Services,2.137,1.598,1.443,2.221,1.492,1.04,1.664,-0.0194,Fraud
Morgan Stanley,USA,Financial Services,1.162,0.975,0.592,1.554,0.934,0.505,0.634,0.3422,Legit
Azgard 2009,Pakistan,Textiles,2.003,1.657,1.335,1.285,1.175,0.934,1.121,-0.0037,Fraud
Cendant Corporation,USA,Diversified,1.265,1.308,1.609,1.826,1.164,1.079,1.859,-0.0099,Fraud
Konecranes,Finland,Industrial,1.639,0.73,1.13,1.331,0.919,1.338,1.294,0.1069,Legit
Vivendi 2001,France,Media,1.646,1.653,1.035,2.036,1.427,0.989,0.82,0.3045,Fraud
TAL Education,China,Education,1.895,1.354,1.434,1.881,1.299,0.792,1.769,-0.1366,Fraud
Polytec Holding,Austria,Automotive,1.675,0.517,1.626,1.72,1.27,1.045,1.447,0.1269,Fraud
Georg Fischer,Switzerland,Industrial,1.172,1.698,1.725,0.883,0.893,1.184,0.528,0.2738,Legit
Satyam 2006,India,IT Services,1.574,1.562,1.719,2.387,1.115,1.487,2.02,0.1265,Fraud
FirstRand Limited,South Africa,Banking,1.063,1.038,0.738,1.658,0.713,0.914,1.149,-0.2,Legit
Boeing Company,USA,Aerospace,0.957,1.179,1.201,0.781,0.92,0.738,1.348,0.2059,Legit
Apple 2016,USA,Consumer Electronics,1.039,1.452,1.227,1.197,0.3,0.76,1.266,0.5,Legit
Omnicom Media fraud,USA,Media,1.433,1.849,1.281,2.743,1.28,1.03,1.059,0.063,Fraud
S&T AG,Austria,Technology,1.309,1.272,1.612,2.302,1.621,1.323,0.911,0.3275,Fraud
Pacific Rubiales,Canada,Oil & Gas,1.562,1.865,2.288,1.39,0.85,0.883,1.021,-0.2,Fraud
